P/N,NTCG103JX103DT1,,,,,
R25,10,k +/-,0.5,%,,
B25/85,3435,K  +/- ,0.7,%,,
 ,,,,,,
Temp,Min,Nom,Max,B25/T, -dT,dT
-40,183.7,188.5,193.4,3140,-0.4,0.4
-39,174.1,178.6,183.1,3144,-0.4,0.4
-38,165.1,169.2,173.5,3148,-0.4,0.4
-37,156.5,160.4,164.4,3152,-0.4,0.4
-36,148.5,152.1,155.8,3155,-0.4,0.4
-35,140.9,144.3,147.7,3159,-0.4,0.4
-34,133.8,136.9,140.1,3162,-0.4,0.4
-33,127,130,133,3166,-0.4,0.4
-32,120.6,123.4,126.2,3169,-0.4,0.4
-31,114.6,117.2,119.8,3173,-0.4,0.4
-30,108.9,111.3,113.8,3176,-0.4,0.4
-29,103.5,105.8,108.1,3180,-0.4,0.4
-28,98.47,100.6,102.7,3183,-0.4,0.4
-27,93.67,95.64,97.65,3187,-0.4,0.4
-26,89.13,90.97,92.85,3190,-0.4,0.4
-25,84.83,86.56,88.31,3194,-0.4,0.4
-24,80.77,82.38,84.02,3197,-0.4,0.4
-23,76.92,78.43,79.96,3200,-0.4,0.4
-22,73.27,74.69,76.12,3203,-0.4,0.4
-21,69.82,71.14,72.49,3207,-0.4,0.4
-20,66.55,67.79,69.05,3210,-0.4,0.4
-19,63.45,64.61,65.79,3213,-0.4,0.4
-18,60.51,61.6,62.7,3216,-0.4,0.4
-17,57.73,58.74,59.77,3220,-0.4,0.4
-16,55.08,56.03,57,3223,-0.3,0.4
-15,52.58,53.46,54.37,3226,-0.3,0.3
-14,50.2,51.03,51.87,3229,-0.3,0.3
-13,47.94,48.71,49.5,3232,-0.3,0.3
-12,45.79,46.52,47.26,3235,-0.3,0.3
-11,43.75,44.43,45.12,3238,-0.3,0.3
-10,41.81,42.45,43.1,3241,-0.3,0.3
-9,39.97,40.57,41.17,3244,-0.3,0.3
-8,38.22,38.78,39.35,3247,-0.3,0.3
-7,36.56,37.08,37.61,3250,-0.3,0.3
-6,34.98,35.46,35.96,3253,-0.3,0.3
-5,33.47,33.93,34.39,3256,-0.3,0.3
-4,32.04,32.46,32.9,3258,-0.3,0.3
-3,30.67,31.07,31.48,3261,-0.3,0.3
-2,29.37,29.75,30.12,3264,-0.3,0.3
-1,28.14,28.49,28.84,3267,-0.3,0.3
0,26.96,27.28,27.61,3270,-0.3,0.3
1,25.83,26.14,26.45,3272,-0.3,0.3
2,24.76,25.05,25.34,3275,-0.3,0.3
3,23.74,24.01,24.28,3278,-0.3,0.3
4,22.77,23.02,23.27,3280,-0.3,0.3
5,21.84,22.07,22.31,3283,-0.2,0.2
6,20.96,21.17,21.39,3286,-0.2,0.2
7,20.11,20.31,20.52,3288,-0.2,0.2
8,19.3,19.49,19.68,3291,-0.2,0.2
9,18.53,18.71,18.89,3294,-0.2,0.2
10,17.8,17.96,18.13,3296,-0.2,0.2
11,17.1,17.25,17.4,3299,-0.2,0.2
12,16.43,16.57,16.71,3301,-0.2,0.2
13,15.78,15.91,16.05,3304,-0.2,0.2
14,15.17,15.29,15.41,3306,-0.2,0.2
15,14.58,14.7,14.81,3308,-0.2,0.2
16,14.02,14.13,14.23,3311,-0.2,0.2
17,13.49,13.59,13.68,3313,-0.2,0.2
18,12.98,13.07,13.16,3316,-0.2,0.2
19,12.48,12.57,12.65,3318,-0.2,0.2
20,12.02,12.09,12.17,3320,-0.2,0.2
21,11.57,11.64,11.71,3323,-0.2,0.2
22,11.14,11.2,11.27,3325,-0.2,0.2
23,10.72,10.78,10.84,3327,-0.1,0.1
24,10.33,10.38,10.44,3330,-0.1,0.1
25,9.95,10,10.05,3332,-0.1,0.1
26,9.582,9.633,9.684,3334,-0.1,0.1
27,9.23,9.282,9.333,3336,-0.1,0.1
28,8.893,8.945,8.996,3338,-0.2,0.2
29,8.569,8.622,8.674,3341,-0.2,0.2
30,8.259,8.312,8.364,3343,-0.2,0.2
31,7.962,8.015,8.067,3345,-0.2,0.2
32,7.677,7.73,7.782,3347,-0.2,0.2
33,7.404,7.456,7.509,3349,-0.2,0.2
34,7.142,7.194,7.247,3351,-0.2,0.2
35,6.89,6.942,6.995,3353,-0.2,0.2
36,6.648,6.7,6.753,3355,-0.2,0.2
37,6.416,6.468,6.521,3357,-0.2,0.2
38,6.194,6.245,6.297,3359,-0.2,0.2
39,5.98,6.031,6.083,3361,-0.2,0.2
40,5.775,5.826,5.877,3363,-0.3,0.3
41,5.577,5.628,5.679,3365,-0.3,0.3
42,5.388,5.438,5.489,3367,-0.3,0.3
43,5.206,5.255,5.306,3369,-0.3,0.3
44,5.031,5.08,5.13,3371,-0.3,0.3
45,4.862,4.911,4.96,3373,-0.3,0.3
46,4.7,4.749,4.797,3374,-0.3,0.3
47,4.545,4.592,4.641,3376,-0.3,0.3
48,4.395,4.442,4.49,3378,-0.3,0.3
49,4.251,4.297,4.345,3380,-0.3,0.3
50,4.112,4.158,4.205,3382,-0.3,0.3
51,3.979,4.024,4.07,3384,-0.4,0.4
52,3.85,3.895,3.941,3385,-0.4,0.4
53,3.727,3.771,3.816,3387,-0.4,0.4
54,3.607,3.651,3.695,3389,-0.4,0.4
55,3.493,3.536,3.58,3390,-0.4,0.4
56,3.382,3.425,3.468,3392,-0.4,0.4
57,3.276,3.318,3.36,3394,-0.4,0.4
58,3.173,3.215,3.256,3396,-0.4,0.4
59,3.074,3.115,3.156,3397,-0.4,0.4
60,2.979,3.019,3.06,3399,-0.4,0.4
61,2.887,2.927,2.967,3400,-0.4,0.4
62,2.798,2.837,2.877,3402,-0.5,0.5
63,2.713,2.751,2.79,3404,-0.5,0.5
64,2.631,2.668,2.707,3405,-0.5,0.5
65,2.551,2.588,2.626,3407,-0.5,0.5
66,2.474,2.511,2.548,3408,-0.5,0.5
67,2.4,2.436,2.473,3410,-0.5,0.5
68,2.329,2.364,2.4,3411,-0.5,0.5
69,2.26,2.295,2.33,3413,-0.5,0.5
70,2.193,2.227,2.262,3414,-0.5,0.5
71,2.129,2.163,2.197,3416,-0.5,0.5
72,2.067,2.1,2.134,3417,-0.6,0.6
73,2.007,2.039,2.072,3419,-0.6,0.6
74,1.949,1.981,2.013,3420,-0.6,0.6
75,1.893,1.924,1.956,3422,-0.6,0.6
76,1.838,1.869,1.901,3423,-0.6,0.6
77,1.786,1.817,1.848,3424,-0.6,0.6
78,1.735,1.765,1.796,3426,-0.6,0.6
79,1.686,1.716,1.746,3427,-0.6,0.6
80,1.639,1.668,1.698,3428,-0.6,0.6
81,1.593,1.622,1.651,3430,-0.6,0.6
82,1.549,1.577,1.606,3431,-0.7,0.7
83,1.506,1.534,1.562,3432,-0.7,0.7
84,1.465,1.492,1.52,3434,-0.7,0.7
85,1.425,1.451,1.478,3435,-0.7,0.7
86,1.386,1.412,1.439,3436,-0.7,0.7
87,1.348,1.374,1.4,3437,-0.7,0.7
88,1.312,1.337,1.363,3439,-0.7,0.7
89,1.277,1.302,1.327,3440,-0.7,0.7
90,1.243,1.267,1.292,3441,-0.7,0.7
91,1.21,1.234,1.258,3442,-0.8,0.8
92,1.178,1.201,1.225,3444,-0.8,0.8
93,1.147,1.17,1.193,3445,-0.8,0.8
94,1.117,1.139,1.163,3446,-0.8,0.8
95,1.087,1.11,1.133,3447,-0.8,0.8
96,1.059,1.081,1.104,3448,-0.8,0.8
97,1.032,1.054,1.076,3449,-0.8,0.8
98,1.005,1.027,1.048,3451,-0.8,0.8
99,0.98,1.001,1.022,3452,-0.8,0.8
100,0.955,0.975,0.996,3453,-0.9,0.9
101,0.93,0.951,0.971,3454,-0.9,0.9
102,0.907,0.927,0.947,3455,-0.9,0.9
103,0.884,0.904,0.924,3456,-0.9,0.9
104,0.862,0.881,0.901,3457,-0.9,0.9
105,0.841,0.86,0.879,3458,-0.9,0.9
106,0.82,0.838,0.857,3459,-0.9,0.9
107,0.8,0.818,0.837,3460,-0.9,0.9
108,0.78,0.798,0.816,3461,-1,1
109,0.761,0.779,0.797,3462,-1,1
110,0.743,0.76,0.778,3463,-1,1
111,0.725,0.742,0.759,3464,-1,1
112,0.707,0.724,0.741,3465,-1,1
113,0.69,0.707,0.724,3466,-1,1
114,0.674,0.69,0.707,3467,-1,1
115,0.658,0.674,0.69,3468,-1,1
116,0.642,0.658,0.674,3469,-1,1.1
117,0.627,0.643,0.658,3470,-1.1,1.1
118,0.613,0.628,0.643,3471,-1.1,1.1
119,0.598,0.613,0.629,3472,-1.1,1.1
120,0.585,0.599,0.614,3473,-1.1,1.1
121,0.571,0.585,0.6,3474,-1.1,1.1
122,0.558,0.572,0.587,3475,-1.1,1.1
123,0.545,0.559,0.573,3476,-1.1,1.1
124,0.533,0.546,0.561,3477,-1.1,1.2
125,0.521,0.534,0.548,3478,-1.2,1.2
